5,English Proficient,2011,4 year August,928,621,66.9,564,60.8,90.8,178,19.2,28.7,386,41.6,62.2,57,6.1,9.2,202,21.8,83,8.9,15,1.6,5,0.5
5,English Proficient,2010,4 year August,969,641,66.2,593,61.2,92.5,171,17.6,26.7,422,43.6,65.8,48,5.0,7.5,238,24.6,76,7.8,7,0.7,7,0.7
5,English Proficient,2009,4 year August,896,591,66.0,560,62.5,94.8,150,16.7,25.4,410,45.8,69.4,31,3.5,5.2,213,23.8,78,8.7,9,1.0,5,0.6
5,English Proficient,2008,4 year August,942,587,62.3,561,59.6,95.6,158,16.8,26.9,403,42.8,68.7,26,2.8,4.4,239,25.4,80,8.5,25,2.7,11,1.2
5,English Proficient,2007,4 year August,933,646,69.2,561,60.1,86.8,170,18.2,26.3,391,41.9,60.5,85,9.1,13.2,159,17.0,91,9.8,11,1.2,24,2.6
5,English Proficient,2006,4 year August,884,601,68.0,538,60.9,89.5,181,20.5,30.1,357,40.4,59.4,63,7.1,10.5,159,18.0,86,9.7,16,1.8,22,2.5
5,English Proficient,2005,4 year August,852,579,68.0,486,57.0,83.9,177,20.8,30.6,309,36.3,53.4,93,10.9,16.1,162,19.0,80,9.4,15,1.8,16,1.9
5,English Proficient,2012,4 year June,910,606,66.6,563,61.9,92.9,198,21.8,32.7,365,40.1,60.2,43,4.7,7.1,211,23.2,74,8.1,12,1.3,6,0.7
5,English Proficient,2011,4 year June,928,594,64.0,542,58.4,91.2,177,19.1,29.8,365,39.3,61.4,52,5.6,8.8,229,24.7,83,8.9,15,1.6,5,0.5
5,English Proficient,2010,4 year June,969,599,61.8,558,57.6,93.2,170,17.5,28.4,388,40.0,64.8,41,4.2,6.8,280,28.9,76,7.8,7,0.7,7,0.7
5,English Proficient,2009,4 year June,896,548,61.2,522,58.3,95.3,147,16.4,26.8,375,41.9,68.4,26,2.9,4.7,256,28.6,78,8.7,9,1.0,5,0.6
5,English Proficient,2008,4 year June,942,535,56.8,512,54.4,95.7,156,16.6,29.2,356,37.8,66.5,23,2.4,4.3,290,30.8,81,8.6,25,2.7,11,1.2
5,English Proficient,2007,4 year June,933,592,63.5,524,56.2,88.5,168,18.0,28.4,356,38.2,60.1,68,7.3,11.5,211,22.6,94,10.1,12,1.3,22,2.4
5,English Proficient,2006,4 year June,884,556,62.9,510,57.7,91.7,178,20.1,32.0,332,37.6,59.7,46,5.2,8.3,204,23.1,86,9.7,16,1.8,22,2.5
5,English Proficient,2005,4 year June,852,551,64.7,469,55.0,85.1,174,20.4,31.6,295,34.6,53.5,82,9.6,14.9,190,22.3,80,9.4,15,1.8,16,1.9
5,English Proficient,2004,4 year June,766,451,58.9,383,50.0,84.9,148,19.3,32.8,235,30.7,52.1,68,8.9,15.1,235,30.7,69,9.0,9,1.2,2,0.3
5,English Proficient,2003,4 year June,483,279,57.8,200,41.4,71.7,55,11.4,19.7,145,30.0,52.0,79,16.4,28.3,145,30.0,42,8.7,12,2.5,4,0.8
5,English Proficient,2002,4 year June,393,245,62.3,155,39.4,63.3,43,10.9,17.6,112,28.5,45.7,90,22.9,36.7,104,26.5,25,6.4,8,2.0,9,2.3
5,English Proficient,2001,4 year June,348,249,71.6,168,48.3,67.5,75,21.6,30.1,93,26.7,37.3,81,23.3,32.5,68,19.5,21,6.0,6,1.7,4,1.1
5,English Proficient,2011,5 year August,922,687,74.5,614,66.6,89.4,179,19.4,26.1,435,47.2,63.3,73,7.9,10.6,77,8.4,117,12.7,26,2.8,12,1.3
5,English Proficient,2010,5 year August,963,716,74.4,655,68.0,91.5,172,17.9,24.0,483,50.2,67.5,61,6.3,8.5,98,10.2,117,12.1,21,2.2,8,0.8
5,English Proficient,2009,5 year August,880,660,75.0,614,69.8,93.0,152,17.3,23.0,462,52.5,70.0,46,5.2,7.0,86,9.8,113,12.8,11,1.3,9,1.0
5,English Proficient,2008,5 year August,945,651,68.9,611,64.7,93.9,158,16.7,24.3,453,47.9,69.6,40,4.2,6.1,132,14.0,110,11.6,41,4.3,9,1.0
5,English Proficient,2007,5 year August,929,694,74.7,586,63.1,84.4,170,18.3,24.5,416,44.8,59.9,108,11.6,15.6,62,6.7,124,13.3,29,3.1,18,1.9
5,English Proficient,2006,5 year August,901,652,72.4,563,62.5,86.3,182,20.2,27.9,381,42.3,58.4,89,9.9,13.7,68,7.5,130,14.4,27,3.0,23,2.6
5,English Proficient,2011,5 year June,922,672,72.9,601,65.2,89.4,179,19.4,26.6,422,45.8,62.8,71,7.7,10.6,92,10.0,117,12.7,26,2.8,12,1.3
5,English Proficient,2010,5 year June,963,705,73.2,647,67.2,91.8,172,17.9,24.4,475,49.3,67.4,58,6.0,8.2,109,11.3,117,12.1,21,2.2,8,0.8
5,English Proficient,2009,5 year June,880,643,73.1,601,68.3,93.5,152,17.3,23.6,449,51.0,69.8,42,4.8,6.5,103,11.7,113,12.8,11,1.3,9,1.0
5,English Proficient,2008,5 year June,945,640,67.7,602,63.7,94.1,158,16.7,24.7,444,47.0,69.4,38,4.0,5.9,143,15.1,110,11.6,41,4.3,9,1.0
5,English Proficient,2007,5 year June,929,683,73.5,579,62.3,84.8,170,18.3,24.9,409,44.0,59.9,104,11.2,15.2,71,7.6,126,13.6,29,3.1,18,1.9
5,English Proficient,2006,5 year June,901,635,70.5,557,61.8,87.7,182,20.2,28.7,375,41.6,59.1,78,8.7,12.3,78,8.7,137,15.2,27,3.0,23,2.6
5,English Proficient,2005,5 year June,862,613,71.1,501,58.1,81.7,177,20.5,28.9,324,37.6,52.9,112,13.0,18.3,64,7.4,127,14.7,27,3.1,30,3.5
5,English Proficient,2004,5 year June,757,535,70.7,423,55.9,79.1,153,20.2,28.6,270,35.7,50.5,112,14.8,20.9,73,9.6,112,14.8,20,2.6,17,2.2
5,English Proficient,2003,5 year June,483,331,68.5,222,46.0,67.1,56,11.6,16.9,166,34.4,50.2,109,22.6,32.9,52,10.8,67,13.9,27,5.6,4,0.8
5,English Proficient,2002,5 year June,393,273,69.5,166,42.2,60.8,43,10.9,15.8,123,31.3,45.1,109,27.7,39.9,49,12.5,39,9.9,20,5.1,10,2.5
5,English Proficient,2001,5 year June,348,271,77.9,174,50.0,64.2,75,21.6,27.7,99,28.4,36.5,97,27.9,35.8,22,6.3,34,9.8,17,4.9,4,1.1
5,English Proficient,2010,6 year June,961,733,76.3,667,69.4,91.0,172,17.9,23.5,495,51.5,67.5,66,6.9,9.0,52,5.4,140,14.6,22,2.3,11,1.1
5,English Proficient,2009,6 year June,884,679,76.8,627,70.9,92.3,152,17.2,22.4,475,53.7,70.0,52,5.9,7.7,55,6.2,130,14.7,12,1.4,8,0.9
5,English Proficient,2008,6 year June,940,675,71.8,627,66.7,92.9,158,16.8,23.4,469,49.9,69.5,48,5.1,7.1,85,9.0,120,12.8,49,5.2,9,1.0
5,English Proficient,2007,6 year June,921,699,75.9,589,64.0,84.3,170,18.5,24.3,419,45.5,59.9,110,11.9,15.7,46,5.0,126,13.7,33,3.6,15,1.6
5,English Proficient,2006,6 year June,883,661,74.9,569,64.4,86.1,182,20.6,27.5,387,43.8,58.5,92,10.4,13.9,26,2.9,139,15.7,34,3.9,23,2.6
5,English Proficient,2005,6 year June,851,634,74.5,507,59.6,80.0,177,20.8,27.9,330,38.8,52.1,127,14.9,20.0,32,3.8,131,15.4,27,3.2,27,3.2
5,English Proficient,2004,6 year June,760,569,74.9,435,57.2,76.4,154,20.3,27.1,281,37.0,49.4,134,17.6,23.6,36,4.7,118,15.5,20,2.6,17,2.2
5,English Proficient,2003,6 year June,487,344,70.6,225,46.2,65.4,56,11.5,16.3,169,34.7,49.1,119,24.4,34.6,21,4.3,82,16.8,27,5.5,11,2.3
5,English Proficient,2002,6 year June,393,280,71.2,169,43.0,60.4,43,10.9,15.4,126,32.1,45.0,113,28.8,40.4,34,8.7,47,12.0,20,5.1,10,2.5
5,English Proficient,2001,6 year June,348,276,79.3,174,50.0,63.0,75,21.6,27.2,99,28.4,35.9,102,29.3,37.0,10,2.9,39,11.2,19,5.5,4,1.1
5,Former ELL,2012,4 year August,26,16,61.5,14,53.8,87.5,0,0.0,0.0,14,53.8,87.5,2,7.7,12.5,9,34.6,1,3.8,0,0.0,0,0.0
5,Former ELL,2011,4 year August,17,14,82.4,9,52.9,64.3,1,5.9,7.1,8,47.1,57.1,5,29.4,35.7,3,17.6,0,0.0,0,0.0,0,0.0
5,Former ELL,2010,4 year August,14,10,71.4,9,64.3,90.0,0,0.0,0.0,9,64.3,90.0,1,7.1,10.0,2,14.3,2,14.3,0,0.0,0,0.0
5,Former ELL,2009,4 year August,15,14,93.3,14,93.3,100.0,1,6.7,7.1,13,86.7,92.9,0,0.0,0.0,0,0.0,1,6.7,0,0.0,0,0.0
5,Former ELL,2008,4 year August,13,7,53.8,7,53.8,100.0,1,7.7,14.3,6,46.2,85.7,0,0.0,0.0,5,38.5,1,7.7,0,0.0,0,0.0
5,Former ELL,2007,4 year August,12,10,83.3,9,75.0,90.0,0,0.0,0.0,9,75.0,90.0,1,8.3,10.0,2,16.7,0,0.0,0,0.0,0,0.0
5,Former ELL,2006,4 year August,9,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
5,Former ELL,2005,4 year August,5,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
5,Former ELL,2012,4 year June,26,16,61.5,14,53.8,87.5,0,0.0,0.0,14,53.8,87.5,2,7.7,12.5,9,34.6,1,3.8,0,0.0,0,0.0
5,Former ELL,2011,4 year June,17,14,82.4,9,52.9,64.3,1,5.9,7.1,8,47.1,57.1,5,29.4,35.7,3,17.6,0,0.0,0,0.0,0,0.0
5,Former ELL,2010,4 year June,14,6,42.9,6,42.9,100.0,0,0.0,0.0,6,42.9,100.0,0,0.0,0.0,6,42.9,2,14.3,0,0.0,0,0.0
5,Former ELL,2009,4 year June,15,13,86.7,13,86.7,100.0,0,0.0,0.0,13,86.7,100.0,0,0.0,0.0,1,6.7,1,6.7,0,0.0,0,0.0
5,Former ELL,2008,4 year June,13,6,46.2,6,46.2,100.0,1,7.7,16.7,5,38.5,83.3,0,0.0,0.0,6,46.2,1,7.7,0,0.0,0,0.0
5,Former ELL,2007,4 year June,12,8,66.7,7,58.3,87.5,0,0.0,0.0,7,58.3,87.5,1,8.3,12.5,3,25.0,1,8.3,0,0.0,0,0.0
5,Former ELL,2006,4 year June,9,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
5,Former ELL,2005,4 year June,5,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
5,Former ELL,2004,4 year June,8,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
5,Former ELL,2003,4 year June,5,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
5,Former ELL,2002,4 year June,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
5,Former ELL,2011,5 year August,18,16,88.9,11,61.1,68.8,1,5.6,6.3,10,55.6,62.5,5,27.8,31.3,2,11.1,0,0.0,0,0.0,0,0.0
5,Former ELL,2010,5 year August,15,12,80.0,11,73.3,91.7,0,0.0,0.0,11,73.3,91.7,1,6.7,8.3,1,6.7,2,13.3,0,0.0,0,0.0
5,Former ELL,2009,5 year August,18,17,94.4,14,77.8,82.4,0,0.0,0.0,14,77.8,82.4,3,16.7,17.6,0,0.0,1,5.6,0,0.0,0,0.0
5,Former ELL,2008,5 year August,9,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
5,Former ELL,2007,5 year August,11,9,81.8,8,72.7,88.9,0,0.0,0.0,8,72.7,88.9,1,9.1,11.1,0,0.0,2,18.2,0,0.0,0,0.0
5,Former ELL,2006,5 year August,9,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
5,Former ELL,2011,5 year June,18,16,88.9,11,61.1,68.8,1,5.6,6.3,10,55.6,62.5,5,27.8,31.3,2,11.1,0,0.0,0,0.0,0,0.0
5,Former ELL,2010,5 year June,15,12,80.0,11,73.3,91.7,0,0.0,0.0,11,73.3,91.7,1,6.7,8.3,1,6.7,2,13.3,0,0.0,0,0.0
5,Former ELL,2009,5 year June,18,17,94.4,14,77.8,82.4,0,0.0,0.0,14,77.8,82.4,3,16.7,17.6,0,0.0,1,5.6,0,0.0,0,0.0
5,Former ELL,2008,5 year June,9,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
5,Former ELL,2007,5 year June,11,9,81.8,8,72.7,88.9,0,0.0,0.0,8,72.7,88.9,1,9.1,11.1,0,0.0,2,18.2,0,0.0,0,0.0
5,Former ELL,2006,5 year June,9,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
5,Former ELL,2004,5 year June,7,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
5,Former ELL,2003,5 year June,5,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
5,Former ELL,2002,5 year June,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
5,Former ELL,2010,6 year June,15,12,80.0,11,73.3,91.7,0,0.0,0.0,11,73.3,91.7,1,6.7,8.3,1,6.7,2,13.3,0,0.0,0,0.0
5,Former ELL,2009,6 year June,18,17,94.4,14,77.8,82.4,0,0.0,0.0,14,77.8,82.4,3,16.7,17.6,0,0.0,1,5.6,0,0.0,0,0.0
5,Former ELL,2008,6 year June,9,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
5,Former ELL,2007,6 year June,11,9,81.8,8,72.7,88.9,0,0.0,0.0,8,72.7,88.9,1,9.1,11.1,0,0.0,2,18.2,0,0.0,0,0.0
5,Former ELL,2006,6 year June,9,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
5,Former ELL,2005,6 year June,5,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
5,Former ELL,2003,6 year June,5,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
5,Former ELL,2002,6 year June,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
6,ELL,2012,4 year August,270,85,31.5,65,24.1,76.5,0,0.0,0.0,65,24.1,76.5,20,7.4,23.5,111,41.1,57,21.1,13,4.8,4,1.5
6,ELL,2011,4 year August,278,115,41.4,97,34.9,84.3,1,0.4,0.9,96,34.5,83.5,18,6.5,15.7,89,32.0,46,16.5,24,8.6,4,1.4
6,ELL,2010,4 year August,319,110,34.5,101,31.7,91.8,6,1.9,5.5,95,29.8,86.4,9,2.8,8.2,118,37.0,63,19.7,19,6.0,9,2.8
6,ELL,2009,4 year August,371,151,40.7,138,37.2,91.4,15,4.0,9.9,123,33.2,81.5,13,3.5,8.6,125,33.7,73,19.7,14,3.8,7,1.9
6,ELL,2008,4 year August,313,125,39.9,115,36.7,92.0,5,1.6,4.0,110,35.1,88.0,10,3.2,8.0,103,32.9,66,21.1,19,6.1,0,0.0
6,ELL,2007,4 year August,292,119,40.8,89,30.5,74.8,16,5.5,13.4,73,25.0,61.3,30,10.3,25.2,99,33.9,34,11.6,33,11.3,7,2.4
6,ELL,2006,4 year August,268,148,55.2,85,31.7,57.4,11,4.1,7.4,74,27.6,50.0,63,23.5,42.6,57,21.3,41,15.3,16,6.0,6,2.2
6,ELL,2005,4 year August,260,151,58.1,70,26.9,46.4,8,3.1,5.3,62,23.8,41.1,80,30.8,53.0,62,23.8,26,10.0,16,6.2,5,1.9
6,ELL,2012,4 year June,270,74,27.4,59,21.9,79.7,0,0.0,0.0,59,21.9,79.7,15,5.6,20.3,122,45.2,57,21.1,13,4.8,4,1.5
6,ELL,2011,4 year June,278,99,35.6,86,30.9,86.9,1,0.4,1.0,85,30.6,85.9,13,4.7,13.1,105,37.8,46,16.5,24,8.6,4,1.4
6,ELL,2010,4 year June,319,101,31.7,94,29.5,93.1,6,1.9,5.9,88,27.6,87.1,7,2.2,6.9,127,39.8,63,19.7,19,6.0,9,2.8
6,ELL,2009,4 year June,371,137,36.9,125,33.7,91.2,15,4.0,10.9,110,29.6,80.3,12,3.2,8.8,139,37.5,73,19.7,14,3.8,7,1.9
6,ELL,2008,4 year June,313,104,33.2,96,30.7,92.3,5,1.6,4.8,91,29.1,87.5,8,2.6,7.7,124,39.6,66,21.1,19,6.1,0,0.0
6,ELL,2007,4 year June,292,102,34.9,82,28.1,80.4,14,4.8,13.7,68,23.3,66.7,20,6.8,19.6,113,38.7,36,12.3,34,11.6,7,2.4
6,ELL,2006,4 year June,268,139,51.9,83,31.0,59.7,11,4.1,7.9,72,26.9,51.8,56,20.9,40.3,66,24.6,41,15.3,16,6.0,6,2.2
6,ELL,2005,4 year June,260,140,53.8,69,26.5,49.3,8,3.1,5.7,61,23.5,43.6,70,26.9,50.0,73,28.1,26,10.0,16,6.2,5,1.9
6,ELL,2004,4 year June,269,134,49.8,57,21.2,42.5,5,1.9,3.7,52,19.3,38.8,77,28.6,57.5,73,27.1,36,13.4,22,8.2,4,1.5
6,ELL,2003,4 year June,302,137,45.4,49,16.2,35.8,4,1.3,2.9,45,14.9,32.8,88,29.1,64.2,82,27.2,73,24.2,9,3.0,1,0.3
6,ELL,2002,4 year June,186,53,28.5,14,7.5,26.4,1,0.5,1.9,13,7.0,24.5,39,21.0,73.6,74,39.8,47,25.3,7,3.8,5,2.7
6,ELL,2001,4 year June,265,101,38.1,24,9.1,23.8,2,0.8,2.0,22,8.3,21.8,77,29.1,76.2,90,34.0,61,23.0,7,2.6,6,2.3
6,ELL,2011,5 year August,253,127,50.2,99,39.1,78.0,1,0.4,0.8,98,38.7,77.2,28,11.1,22.0,23,9.1,60,23.7,40,15.8,3,1.2
6,ELL,2010,5 year August,293,140,47.8,124,42.3,88.6,7,2.4,5.0,117,39.9,83.6,16,5.5,11.4,35,11.9,77,26.3,29,9.9,11,3.8
6,ELL,2009,5 year August,355,180,50.7,162,45.6,90.0,15,4.2,8.3,147,41.4,81.7,18,5.1,10.0,56,15.8,90,25.4,20,5.6,9,2.5
6,ELL,2008,5 year August,299,141,47.2,124,41.5,87.9,5,1.7,3.5,119,39.8,84.4,17,5.7,12.1,52,17.4,76,25.4,30,10.0,0,0.0
6,ELL,2007,5 year August,274,145,52.9,100,36.5,69.0,15,5.5,10.3,85,31.0,58.6,45,16.4,31.0,12,4.4,66,24.1,43,15.7,8,2.9
6,ELL,2006,5 year August,292,165,56.5,90,30.8,54.5,12,4.1,7.3,78,26.7,47.3,75,25.7,45.5,33,11.3,54,18.5,34,11.6,6,2.1
6,ELL,2011,5 year June,253,123,48.6,97,38.3,78.9,1,0.4,0.8,96,37.9,78.0,26,10.3,21.1,27,10.7,60,23.7,40,15.8,3,1.2
6,ELL,2010,5 year June,293,132,45.1,118,40.3,89.4,7,2.4,5.3,111,37.9,84.1,14,4.8,10.6,43,14.7,77,26.3,29,9.9,11,3.8
6,ELL,2009,5 year June,355,174,49.0,156,43.9,89.7,15,4.2,8.6,141,39.7,81.0,18,5.1,10.3,62,17.5,90,25.4,20,5.6,9,2.5
6,ELL,2008,5 year June,299,137,45.8,120,40.1,87.6,5,1.7,3.6,115,38.5,83.9,17,5.7,12.4,56,18.7,76,25.4,30,10.0,0,0.0
6,ELL,2007,5 year June,274,139,50.7,97,35.4,69.8,15,5.5,10.8,82,29.9,59.0,42,15.3,30.2,14,5.1,70,25.5,43,15.7,8,2.9
6,ELL,2006,5 year June,292,164,56.2,90,30.8,54.9,12,4.1,7.3,78,26.7,47.6,74,25.3,45.1,33,11.3,55,18.8,34,11.6,6,2.1
6,ELL,2005,5 year June,266,164,61.7,74,27.8,45.1,8,3.0,4.9,66,24.8,40.2,90,33.8,54.9,18,6.8,48,18.0,25,9.4,10,3.8
6,ELL,2004,5 year June,265,158,59.6,59,22.3,37.3,5,1.9,3.2,54,20.4,34.2,99,37.4,62.7,19,7.2,50,18.9,30,11.3,8,3.0
6,ELL,2003,5 year June,302,158,52.3,50,16.6,31.6,4,1.3,2.5,46,15.2,29.1,108,35.8,68.4,28,9.3,92,30.5,22,7.3,2,0.7
6,ELL,2002,5 year June,186,71,38.2,16,8.6,22.5,1,0.5,1.4,15,8.1,21.1,55,29.6,77.5,28,15.1,63,33.9,19,10.2,5,2.7
6,ELL,2001,5 year June,265,130,49.1,26,9.8,20.0,2,0.8,1.5,24,9.1,18.5,106,40.0,81.5,23,8.7,82,30.9,24,9.1,6,2.3
6,ELL,2010,6 year June,284,145,51.1,125,44.0,86.2,7,2.5,4.8,118,41.5,81.4,20,7.0,13.8,24,8.5,76,26.8,28,9.9,10,3.5
6,ELL,2009,6 year June,349,190,54.4,169,48.4,88.9,15,4.3,7.9,154,44.1,81.1,21,6.0,11.1,35,10.0,96,27.5,19,5.4,9,2.6
6,ELL,2008,6 year June,300,148,49.3,127,42.3,85.8,5,1.7,3.4,122,40.7,82.4,21,7.0,14.2,27,9.0,79,26.3,46,15.3,0,0.0
6,ELL,2007,6 year June,274,147,53.6,101,36.9,68.7,15,5.5,10.2,86,31.4,58.5,46,16.8,31.3,10,3.6,67,24.5,42,15.3,8,2.9
6,ELL,2006,6 year June,266,170,63.9,90,33.8,52.9,12,4.5,7.1,78,29.3,45.9,80,30.1,47.1,6,2.3,58,21.8,27,10.2,5,1.9
6,ELL,2005,6 year June,265,173,65.3,75,28.3,43.4,8,3.0,4.6,67,25.3,38.7,98,37.0,56.6,12,4.5,45,17.0,25,9.4,9,3.4
6,ELL,2004,6 year June,262,165,63.0,59,22.5,35.8,5,1.9,3.0,54,20.6,32.7,106,40.5,64.2,7,2.7,56,21.4,30,11.5,4,1.5
6,ELL,2003,6 year June,296,165,55.7,51,17.2,30.9,4,1.4,2.4,47,15.9,28.5,114,38.5,69.1,13,4.4,94,31.8,21,7.1,3,1.0
6,ELL,2002,6 year June,186,78,41.9,16,8.6,20.5,1,0.5,1.3,15,8.1,19.2,62,33.3,79.5,12,6.5,71,38.2,20,10.8,5,2.7
6,ELL,2001,6 year June,265,133,50.2,26,9.8,19.5,2,0.8,1.5,24,9.1,18.0,109,41.1,82.0,9,3.4,92,34.7,25,9.4,6,2.3
6,English Proficient,2012,4 year August,936,680,72.6,634,67.7,93.2,58,6.2,8.5,576,61.5,84.7,46,4.9,6.8,166,17.7,66,7.1,9,1.0,12,1.3
6,English Proficient,2011,4 year August,879,622,70.8,590,67.1,94.9,53,6.0,8.5,537,61.1,86.3,32,3.6,5.1,168,19.1,66,7.5,16,1.8,7,0.8
6,English Proficient,2010,4 year August,919,678,73.8,651,70.8,96.0,75,8.2,11.1,576,62.7,85.0,27,2.9,4.0,164,17.8,67,7.3,3,0.3,6,0.7
6,English Proficient,2009,4 year August,1013,693,68.4,678,66.9,97.8,78,7.7,11.3,600,59.2,86.6,15,1.5,2.2,215,21.2,82,8.1,10,1.0,11,1.1
6,English Proficient,2008,4 year August,921,628,68.2,609,66.1,97.0,101,11.0,16.1,508,55.2,80.9,19,2.1,3.0,180,19.5,94,10.2,11,1.2,8,0.9
6,English Proficient,2007,4 year August,800,597,74.6,546,68.3,91.5,104,13.0,17.4,442,55.3,74.0,51,6.4,8.5,94,11.8,84,10.5,17,2.1,8,1.0
6,English Proficient,2006,4 year August,758,572,75.5,455,60.0,79.5,90,11.9,15.7,365,48.2,63.8,117,15.4,20.5,91,12.0,65,8.6,16,2.1,14,1.8
6,English Proficient,2005,4 year August,681,532,78.1,431,63.3,81.0,115,16.9,21.6,316,46.4,59.4,101,14.8,19.0,92,13.5,40,5.9,4,0.6,13,1.9
6,English Proficient,2012,4 year June,936,648,69.2,610,65.2,94.1,57,6.1,8.8,553,59.1,85.3,38,4.1,5.9,198,21.2,66,7.1,9,1.0,12,1.3
6,English Proficient,2011,4 year June,879,579,65.9,553,62.9,95.5,53,6.0,9.2,500,56.9,86.4,26,3.0,4.5,211,24.0,66,7.5,16,1.8,7,0.8
6,English Proficient,2010,4 year June,919,626,68.1,600,65.3,95.8,74,8.1,11.8,526,57.2,84.0,26,2.8,4.2,214,23.3,67,7.3,3,0.3,6,0.7
6,English Proficient,2009,4 year June,1013,635,62.7,623,61.5,98.1,78,7.7,12.3,545,53.8,85.8,12,1.2,1.9,272,26.9,82,8.1,10,1.0,11,1.1
6,English Proficient,2008,4 year June,921,596,64.7,580,63.0,97.3,100,10.9,16.8,480,52.1,80.5,16,1.7,2.7,207,22.5,99,10.7,11,1.2,8,0.9
6,English Proficient,2007,4 year June,800,552,69.0,517,64.6,93.7,103,12.9,18.7,414,51.8,75.0,35,4.4,6.3,130,16.3,93,11.6,17,2.1,8,1.0
6,English Proficient,2006,4 year June,758,532,70.2,429,56.6,80.6,89,11.7,16.7,340,44.9,63.9,103,13.6,19.4,126,16.6,70,9.2,16,2.1,14,1.8
6,English Proficient,2005,4 year June,681,509,74.7,417,61.2,81.9,115,16.9,22.6,302,44.3,59.3,92,13.5,18.1,115,16.9,40,5.9,4,0.6,13,1.9
6,English Proficient,2004,4 year June,782,489,62.5,369,47.2,75.5,82,10.5,16.8,287,36.7,58.7,120,15.3,24.5,185,23.7,95,12.1,12,1.5,1,0.1
6,English Proficient,2003,4 year June,851,554,65.1,417,49.0,75.3,127,14.9,22.9,290,34.1,52.3,137,16.1,24.7,192,22.6,97,11.4,6,0.7,2,0.2
6,English Proficient,2002,4 year June,716,401,56.0,278,38.8,69.3,38,5.3,9.5,240,33.5,59.9,123,17.2,30.7,149,20.8,68,9.5,4,0.6,10,1.4
6,English Proficient,2001,4 year June,806,533,66.1,320,39.7,60.0,79,9.8,14.8,241,29.9,45.2,213,26.4,40.0,174,21.6,84,10.4,11,1.4,4,0.5
6,English Proficient,2011,5 year August,867,683,78.8,640,73.8,93.7,53,6.1,7.8,587,67.7,85.9,43,5.0,6.3,67,7.7,90,10.4,18,2.1,8,0.9
6,English Proficient,2010,5 year August,899,736,81.9,699,77.8,95.0,76,8.5,10.3,623,69.3,84.6,37,4.1,5.0,60,6.7,87,9.7,9,1.0,7,0.8
6,English Proficient,2009,5 year August,982,778,79.2,746,76.0,95.9,79,8.0,10.2,667,67.9,85.7,32,3.3,4.1,69,7.0,108,11.0,9,0.9,16,1.6
6,English Proficient,2008,5 year August,913,696,76.2,674,73.8,96.8,102,11.2,14.7,572,62.7,82.2,22,2.4,3.2,63,6.9,122,13.4,20,2.2,12,1.3
6,English Proficient,2007,5 year August,802,647,80.7,580,72.3,89.6,104,13.0,16.1,476,59.4,73.6,67,8.4,10.4,27,3.4,95,11.8,25,3.1,8,1.0
6,English Proficient,2006,5 year August,770,605,78.6,466,60.5,77.0,91,11.8,15.0,375,48.7,62.0,139,18.1,23.0,36,4.7,90,11.7,23,3.0,15,1.9
6,English Proficient,2011,5 year June,867,676,78.0,633,73.0,93.6,53,6.1,7.8,580,66.9,85.8,43,5.0,6.4,74,8.5,90,10.4,18,2.1,8,0.9
6,English Proficient,2010,5 year June,899,731,81.3,695,77.3,95.1,76,8.5,10.4,619,68.9,84.7,36,4.0,4.9,65,7.2,87,9.7,9,1.0,7,0.8
6,English Proficient,2009,5 year June,982,769,78.3,739,75.3,96.1,79,8.0,10.3,660,67.2,85.8,30,3.1,3.9,78,7.9,108,11.0,9,0.9,16,1.6
6,English Proficient,2008,5 year June,913,687,75.2,666,72.9,96.9,102,11.2,14.8,564,61.8,82.1,21,2.3,3.1,70,7.7,124,13.6,20,2.2,12,1.3
